algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,elapsedTime,shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,14.016,149.0,322.0,0.0,0.0,4.0,-472072.8423489266
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,11.691,150.0,326.0,0.0,0.0,4.0,-472011.273898296
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,12.2,136.0,294.0,0.0,0.0,5.0,-471837.0452900992
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,14.625,156.0,336.0,10.0,10.0,4.0,-470899.40258606017
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,11.183,150.0,322.0,10.0,10.0,4.0,-470960.83885581646
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,11.989,142.0,306.0,6.0,6.0,4.0,-471612.2675430423
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,11.375,142.0,306.0,6.0,6.0,3.0,-471052.5375326059
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,11.984,158.0,340.0,8.0,8.0,4.0,-471644.9594460438
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,10.646,160.0,346.0,6.0,6.0,3.0,-472320.787106387
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,11.778,150.0,324.0,4.0,4.0,4.0,-471748.059790936
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,11.318,164.0,354.0,10.0,10.0,4.0,-471665.8136932168
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,23.488,34.0,68.0,10.0,10.0,4.0,-5126184.995006869
cges,andes,HierarchicalClustering,1,c2,NO_BROADCASTING,11.196,149.0,322.0,0.0,0.0,4.0,-472072.8423489266
cges,andes,HierarchicalClustering,1,c2,NO_BROADCASTING,10.786,150.0,326.0,0.0,0.0,4.0,-472011.273898296
cges,andes,HierarchicalClustering,1,c2,NO_BROADCASTING,12.324,136.0,294.0,0.0,0.0,5.0,-471837.0452900992
cges,andes,HierarchicalClustering,1,c2,NO_BROADCASTING,11.792,156.0,336.0,10.0,10.0,4.0,-470899.40258606017
cges,andes,HierarchicalClustering,1,c2,NO_BROADCASTING,14.723,150.0,322.0,10.0,10.0,4.0,-470960.83885581646
cges,andes,HierarchicalClustering,1,c2,NO_BROADCASTING,11.988,142.0,306.0,6.0,6.0,4.0,-471612.2675430423
cges,andes,HierarchicalClustering,1,c2,NO_BROADCASTING,11.059,142.0,306.0,6.0,6.0,3.0,-471052.5375326059
cges,andes,HierarchicalClustering,1,c2,NO_BROADCASTING,11.375,158.0,340.0,8.0,8.0,4.0,-471644.9594460438
cges,andes,HierarchicalClustering,1,c2,NO_BROADCASTING,11.208,160.0,346.0,6.0,6.0,3.0,-472320.787106387
cges,andes,HierarchicalClustering,1,c2,NO_BROADCASTING,10.793,150.0,324.0,4.0,4.0,4.0,-471748.059790936
cges,andes,HierarchicalClustering,1,c2,NO_BROADCASTING,11.426,164.0,354.0,10.0,10.0,4.0,-471665.8136932168
cges,andes,HierarchicalClustering,1,c2,NO_BROADCASTING,23.314,34.0,68.0,10.0,10.0,4.0,-5126184.995006869
cges,andes,HierarchicalClustering,1,c2,PAIR_BROADCASTING,11.178,149.0,322.0,0.0,0.0,4.0,-472072.8423489266
cges,andes,HierarchicalClustering,1,c2,PAIR_BROADCASTING,11.085,150.0,326.0,0.0,0.0,4.0,-472011.273898296
cges,andes,HierarchicalClustering,1,c2,PAIR_BROADCASTING,11.73,136.0,294.0,0.0,0.0,4.0,-471837.0452900992
cges,andes,HierarchicalClustering,1,c2,PAIR_BROADCASTING,11.279,156.0,336.0,10.0,10.0,4.0,-470899.4025860602
cges,andes,HierarchicalClustering,1,c2,PAIR_BROADCASTING,11.85,150.0,322.0,10.0,10.0,4.0,-470960.83885581646
cges,andes,HierarchicalClustering,1,c2,PAIR_BROADCASTING,11.707,142.0,306.0,6.0,6.0,4.0,-471612.2675430423
cges,andes,HierarchicalClustering,1,c2,PAIR_BROADCASTING,11.154,142.0,306.0,6.0,6.0,3.0,-471052.5375326059
cges,andes,HierarchicalClustering,1,c2,PAIR_BROADCASTING,11.242,158.0,340.0,8.0,8.0,4.0,-471644.9594460438
cges,andes,HierarchicalClustering,1,c2,PAIR_BROADCASTING,10.399,160.0,346.0,6.0,6.0,3.0,-472320.787106387
cges,andes,HierarchicalClustering,1,c2,PAIR_BROADCASTING,10.776,150.0,324.0,4.0,4.0,4.0,-471748.059790936
cges,andes,HierarchicalClustering,1,c2,PAIR_BROADCASTING,10.966,164.0,354.0,10.0,10.0,4.0,-471665.8136932168
cges,andes,HierarchicalClustering,1,c2,PAIR_BROADCASTING,23.411,34.0,68.0,10.0,10.0,4.0,-5126184.995006869
cges,andes,HierarchicalClustering,2,c2,ALL_BROADCASTING,7.343,163.0,350.0,14.0,14.0,5.0,-472193.0139388875
cges,andes,HierarchicalClustering,2,c2,ALL_BROADCASTING,7.958,199.0,432.0,62.0,62.0,5.0,-473076.4152112364
cges,andes,HierarchicalClustering,2,c2,ALL_BROADCASTING,9.055,150.0,326.0,22.0,22.0,8.0,-472017.4152006839
cges,andes,HierarchicalClustering,2,c2,ALL_BROADCASTING,8.272,166.0,368.0,40.0,40.0,6.0,-471062.8548693815
cges,andes,HierarchicalClustering,2,c2,ALL_BROADCASTING,7.467,158.0,338.0,16.0,16.0,5.0,-471159.14802795294
cges,andes,HierarchicalClustering,2,c2,ALL_BROADCASTING,8.249,142.0,306.0,6.0,6.0,6.0,-471649.5212536675
cges,andes,HierarchicalClustering,2,c2,ALL_BROADCASTING,8.829,183.0,406.0,90.0,90.0,6.0,-471929.5704682026
cges,andes,HierarchicalClustering,2,c2,ALL_BROADCASTING,9.522,198.0,432.0,78.0,78.0,6.0,-472558.4033300515
cges,andes,HierarchicalClustering,2,c2,ALL_BROADCASTING,8.851,160.0,346.0,6.0,6.0,6.0,-472344.4514216369
cges,andes,HierarchicalClustering,2,c2,ALL_BROADCASTING,9.082,153.0,330.0,10.0,10.0,7.0,-471837.2882756361
cges,andes,HierarchicalClustering,2,c2,ALL_BROADCASTING,7.516,164.0,354.0,10.0,10.0,5.0,-471715.2116713044
cges,andes,HierarchicalClustering,2,c2,ALL_BROADCASTING,20.727,42.0,84.0,18.0,18.0,7.0,-5126311.638530005
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,7.859,163.0,350.0,14.0,14.0,7.0,-472182.40458261856
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,6.97,164.0,354.0,28.0,28.0,6.0,-472289.7296593108
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,8.624,150.0,326.0,22.0,22.0,8.0,-472017.4152006839
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,7.943,166.0,368.0,40.0,40.0,6.0,-471062.8548693815
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,7.689,152.0,328.0,16.0,16.0,8.0,-471030.75603848894
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,7.287,142.0,306.0,6.0,6.0,6.0,-471649.5212536675
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,7.542,172.0,372.0,40.0,40.0,5.0,-472695.34178907576
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,8.107,175.0,374.0,30.0,30.0,7.0,-472149.501793212
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,6.679,160.0,346.0,6.0,6.0,5.0,-472344.4514216369
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,8.144,153.0,330.0,10.0,10.0,7.0,-471837.2882756361
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,8.705,164.0,354.0,10.0,10.0,5.0,-471715.2116713044
cges,andes,HierarchicalClustering,2,c2,NO_BROADCASTING,20.44,42.0,84.0,18.0,18.0,7.0,-5126311.638530005
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,6.975,246.0,522.0,94.0,94.0,4.0,-473651.6711626608
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,7.47,213.0,458.0,48.0,48.0,4.0,-473497.367719649
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,8.944,223.0,524.0,176.0,176.0,5.0,-474607.6909364218
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,8.143,167.0,360.0,32.0,32.0,7.0,-471120.9207607958
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,7.417,152.0,326.0,14.0,14.0,6.0,-471044.5395401737
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,8.151,148.0,320.0,12.0,12.0,7.0,-471871.7335928835
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,11.794,201.0,462.0,136.0,136.0,11.0,-472449.2061265302
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,8.198,270.0,582.0,130.0,130.0,4.0,-475195.3925300189
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,6.823,161.0,350.0,10.0,10.0,5.0,-472423.4253870968
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,8.732,167.0,372.0,42.0,42.0,8.0,-472505.4138264875
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,8.637,268.0,592.0,130.0,130.0,4.0,-474731.76677369815
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,22.13,250.0,590.0,204.0,204.0,4.0,-5153735.469027237
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,12.637,180.0,392.0,48.0,48.0,14.0,-472932.90499656537
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,9.446,180.0,390.0,58.0,58.0,9.0,-472857.0930775133
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,14.025,171.0,368.0,18.0,18.0,14.0,-473158.5867368952
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,12.156,169.0,370.0,32.0,32.0,12.0,-471248.9844409154
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,7.829,241.0,556.0,152.0,152.0,7.0,-473460.8057889922
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,13.625,159.0,342.0,28.0,28.0,13.0,-474125.90719528426
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,13.005,170.0,388.0,82.0,82.0,15.0,-471882.3902410168
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,8.5,257.0,628.0,240.0,240.0,7.0,-474777.1688647962
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,11.25,209.0,446.0,46.0,46.0,10.0,-474035.0816719822
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,10.787,161.0,346.0,18.0,18.0,13.0,-472248.92801420833
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,13.169,171.0,370.0,28.0,28.0,11.0,-472192.25974001695
