algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,database,elapsedTime(s),shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,andes,HierarchicalClustering,1,c2,BEST_BROADCASTING,andes00,11.18,149.0,322.0,0.0,0.0,4.0,-472072.8423489266
cges,andes,HierarchicalClustering,1,c2,BEST_BROADCASTING,andes01,11.371,150.0,326.0,0.0,0.0,4.0,-472011.273898296
cges,andes,HierarchicalClustering,1,c2,BEST_BROADCASTING,andes02,11.992,136.0,294.0,0.0,0.0,5.0,-471837.04529009917
cges,andes,HierarchicalClustering,1,c2,BEST_BROADCASTING,andes03,11.411,156.0,336.0,10.0,10.0,4.0,-470899.40258606017
cges,andes,HierarchicalClustering,1,c2,BEST_BROADCASTING,andes04,11.392,150.0,322.0,10.0,10.0,4.0,-470960.83885581646
cges,andes,HierarchicalClustering,1,c2,BEST_BROADCASTING,andes05,11.14,142.0,306.0,6.0,6.0,4.0,-471612.2675430423
cges,andes,HierarchicalClustering,1,c2,BEST_BROADCASTING,andes06,11.157,142.0,306.0,6.0,6.0,3.0,-471052.5375326059
cges,andes,HierarchicalClustering,1,c2,BEST_BROADCASTING,andes07,11.012,158.0,340.0,8.0,8.0,4.0,-471644.9594460438
cges,andes,HierarchicalClustering,1,c2,BEST_BROADCASTING,andes08,10.342,160.0,346.0,6.0,6.0,3.0,-472320.787106387
cges,andes,HierarchicalClustering,1,c2,BEST_BROADCASTING,andes09,11.503,150.0,324.0,4.0,4.0,4.0,-471748.05979093595
cges,andes,HierarchicalClustering,1,c2,BEST_BROADCASTING,andes10,11.312,164.0,354.0,10.0,10.0,4.0,-471665.81369321677
cges,andes,HierarchicalClustering,1,c2,BEST_BROADCASTING,andes_ALL,21.925,34.0,68.0,10.0,10.0,4.0,-5126184.995006869
cges,andes,HierarchicalClustering,2,c2,BEST_BROADCASTING,andes00,7.298,163.0,350.0,14.0,14.0,6.0,-472168.93174104113
cges,andes,HierarchicalClustering,2,c2,BEST_BROADCASTING,andes01,6.894,167.0,362.0,32.0,32.0,4.0,-472250.04691301775
