algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,database,elapsedTime(s),shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,andes00,11.863,149.0,322.0,0.0,0.0,4.0,-472072.8423489266
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,andes01,11.811,150.0,326.0,0.0,0.0,4.0,-472011.273898296
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,andes02,12.012,136.0,294.0,0.0,0.0,5.0,-471837.04529009917
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,andes03,11.72,156.0,336.0,10.0,10.0,4.0,-470899.40258606017
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,andes04,11.752,150.0,322.0,10.0,10.0,4.0,-470960.83885581646
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,andes05,12.023,142.0,306.0,6.0,6.0,4.0,-471612.2675430423
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,andes06,10.907,142.0,306.0,6.0,6.0,3.0,-471052.5375326059
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,andes07,11.322,158.0,340.0,8.0,8.0,4.0,-471644.9594460438
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,andes08,10.696,160.0,346.0,6.0,6.0,3.0,-472320.787106387
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,andes09,11.597,150.0,324.0,4.0,4.0,4.0,-471748.05979093595
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,andes10,11.566,164.0,354.0,10.0,10.0,4.0,-471665.81369321677
cges,andes,HierarchicalClustering,1,c2,ALL_BROADCASTING,andes_ALL,22.782,34.0,68.0,10.0,10.0,4.0,-5126184.995006869
cges,andes,HierarchicalClustering,1,c2,NO_BROADCASTING,andes00,11.673,149.0,322.0,0.0,0.0,4.0,-472072.8423489266
cges,andes,HierarchicalClustering,1,c2,NO_BROADCASTING,andes01,11.327,150.0,326.0,0.0,0.0,4.0,-472011.273898296
