algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,seed,database,elapsedTime(s),shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,2,pigs00,74.09,0.0,0.0,0.0,0.0,4.0,-1673766.7635783982
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,31,pigs08,38.452,0.0,0.0,0.0,0.0,7.0,-1677057.2539913014
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,37,pigs08,52.131,8.0,30.0,30.0,30.0,14.0,-1677822.9500176625
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,41,pigs08,43.421,0.0,0.0,0.0,0.0,11.0,-1677084.4861111958
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,43,pigs08,99.436,59.0,178.0,172.0,172.0,6.0,-1683609.796383486
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,47,pigs08,36.141,0.0,0.0,0.0,0.0,6.0,-1677105.1043004205
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,53,pigs08,41.723,0.0,0.0,0.0,0.0,7.0,-1677077.442220253
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,59,pigs08,46.468,27.0,72.0,68.0,68.0,5.0,-1680471.1080637574
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,61,pigs08,57.925,32.0,118.0,118.0,118.0,14.0,-1680520.1260711323
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,67,pigs08,50.858,8.0,30.0,30.0,30.0,14.0,-1677822.9500176625
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,71,pigs08,52.604,8.0,30.0,30.0,30.0,14.0,-1677822.9500176625
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,31,pigs00,41.047,0.0,0.0,0.0,0.0,22.0,-1674291.4097630482
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,73,pigs08,40.878,0.0,0.0,0.0,0.0,8.0,-1677077.442220253
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,79,pigs08,54.237,36.0,92.0,82.0,82.0,10.0,-1681392.9888552339
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,83,pigs08,49.754,8.0,30.0,30.0,30.0,13.0,-1677820.4247549097
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,89,pigs08,35.525,0.0,0.0,0.0,0.0,6.0,-1677105.1043004205
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,97,pigs08,50.858,33.0,90.0,78.0,78.0,6.0,-1682688.9273213334
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,101,pigs08,36.022,0.0,0.0,0.0,0.0,7.0,-1677057.2539913014
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,103,pigs08,37.326,0.0,0.0,0.0,0.0,7.0,-1677057.2539913014
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,107,pigs08,56.016,8.0,30.0,30.0,30.0,13.0,-1677822.9500176625
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,109,pigs08,96.479,59.0,178.0,172.0,172.0,6.0,-1683609.796383486
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,113,pigs08,53.809,8.0,30.0,30.0,30.0,14.0,-1677822.9500176625
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,37,pigs00,33.129,4.0,16.0,16.0,16.0,16.0,-1674308.431051224
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,2,pigs08,29.053,6.0,20.0,20.0,20.0,11.0,-1678112.752586809
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,3,pigs08,29.219,0.0,0.0,0.0,0.0,10.0,-1677296.764469528
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,5,pigs08,36.399,6.0,12.0,12.0,12.0,14.0,-1677590.441537663
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,7,pigs08,37.175,8.0,24.0,24.0,24.0,15.0,-1677942.5985167173
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,11,pigs08,33.55,20.0,68.0,66.0,66.0,12.0,-1679185.9253123794
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,13,pigs08,34.645,12.0,44.0,44.0,44.0,14.0,-1678642.2532491188
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,17,pigs08,36.12,6.0,24.0,24.0,24.0,16.0,-1677759.4453839818
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,19,pigs08,40.841,5.0,20.0,20.0,20.0,19.0,-1677634.522220947
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,23,pigs08,27.392,10.0,38.0,38.0,38.0,10.0,-1677933.651154941
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,29,pigs08,31.684,15.0,44.0,44.0,44.0,12.0,-1678329.8858367023
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,41,pigs00,28.648,4.0,12.0,12.0,12.0,13.0,-1674260.5843524053
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,31,pigs08,29.764,10.0,28.0,28.0,28.0,12.0,-1677959.3226294802
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,37,pigs08,28.07,18.0,46.0,42.0,42.0,10.0,-1679391.6746554254
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,41,pigs08,24.286,6.0,12.0,12.0,12.0,8.0,-1677675.6148093722
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,43,pigs08,36.449,0.0,0.0,0.0,0.0,13.0,-1677429.1487762916
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,47,pigs08,34.704,2.0,8.0,8.0,8.0,15.0,-1677443.345547832
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,53,pigs08,31.952,6.0,20.0,20.0,20.0,13.0,-1677705.6762504107
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,59,pigs08,32.782,9.0,28.0,28.0,28.0,13.0,-1678355.449293076
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,61,pigs08,33.222,18.0,52.0,50.0,50.0,7.0,-1679166.6807557305
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,67,pigs08,29.764,1.0,4.0,4.0,4.0,12.0,-1677355.7666710508
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,71,pigs08,24.582,17.0,56.0,52.0,52.0,8.0,-1679064.2387655017
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,43,pigs00,39.935,5.0,20.0,20.0,20.0,20.0,-1674414.2739353194
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,73,pigs08,35.748,13.0,40.0,40.0,40.0,15.0,-1678868.9918323196
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,79,pigs08,35.497,14.0,60.0,60.0,60.0,13.0,-1678453.535949408
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,83,pigs08,29.999,18.0,62.0,62.0,62.0,10.0,-1678993.273068805
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,89,pigs08,30.522,19.0,66.0,64.0,64.0,12.0,-1678735.135178071
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,97,pigs08,31.308,6.0,12.0,12.0,12.0,12.0,-1677650.624156207
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,101,pigs08,29.561,0.0,0.0,0.0,0.0,9.0,-1677056.7699101253
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,103,pigs08,25.399,22.0,78.0,76.0,76.0,9.0,-1679048.4447059538
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,107,pigs08,28.822,11.0,28.0,28.0,28.0,11.0,-1677988.1648810278
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,109,pigs08,24.49,6.0,12.0,12.0,12.0,8.0,-1677652.2060127435
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,113,pigs08,32.763,14.0,60.0,60.0,60.0,12.0,-1678374.341809618
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,47,pigs00,28.061,6.0,24.0,24.0,24.0,14.0,-1674327.7030492702
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,2,pigs08,27.897,2.0,8.0,8.0,8.0,14.0,-1677270.8208152717
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,3,pigs08,37.057,0.0,0.0,0.0,0.0,20.0,-1677392.4331314526
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,5,pigs08,29.256,6.0,16.0,16.0,16.0,15.0,-1677682.993093185
