tkvs,tkv,aks_m2,udb,protein,sort,srtsize,dgv1059,nedbarea,srtprot,ngodnn,dgv5980,forfrugt,spndx,sorttkv,aks_vgt,s2225,saamng,saatid,saakern,komm,exptgens,pesticid,nopt,nmin,aar_mod,frspdag,ngodnt,mod_nmin,rokap,slt22,jordinf,bgbyg,jordn,nprot,jordtype,nplac,partigerm,markgrm,ntilg,ksort,dg25,ngtilg,antplnt,keraks,potnmin,s2528,ngodn
x42_44,x42_5_45,x750_950,x60_65,x9_5_10_0,Tofta,x2,x61_70,x3___500_,x3,x_45,x10_15,Cereals,x9_10,x6,x700_750,x1_5,x170_190,x26_3_10_4,x375_424,state0,x40_50,x_2,x120_135,x45_60,x_5,x23_25,x75_90,x45_60,x162_5_187_5,x3_5,x_95__97,x4_5_5_0,x90_105,x100_120,Jb_7,Placed,x97_98,x94_95,x120_135,x_85,x32_5_37_5,x_45,x375_425,x17_19,x30_45,x10_15,x_45
x42_44,x42_5_45,x650_750,x55_60,x_12_0,Meltan,x1,x25_40,x3___500_,x6,x_45,x5_10,Cer_rotation,x9_10,x5,x750_850,x1_5,x170_190,x_26_4,x375_424,state3,x50_60,x_2,x120_135,x45_60,x15,x15_17,x90_105,x30_45,x162_5_187_5,x3_5,x_97__98,x4_0_4_5,x105_120,x100_120,JB_8,Top_dressed,x97_98,x95_97,x135_150,x_85,x32_5_37_5,x_45,x375_425,x19_21,x75_90,x15_20,x_45
x44_46,x42_5_45,x550_650,x55_60,x_12_0,Caruso,x1,x51_60,x2__375_500_,x5,x_45,x25_35,Clovergrass,x9_10,x5,x950_1050,x0_1,x70_90,x_26_4,x175_225,state0,x40_50,x_2,x120_135,x30_45,x10,x_15,x75_90,x15_30,x137_5_162_5,x1_2,x_99_1_00,x3_0_3_5,x105_120,x100_120,JB_5,Top_dressed,x_80,x75_80,x135_150,x_98,x_57_5,x_45,x_175,x17_19,x75_90,x0_5,x_45
x46_48,x35_40,x750_950,x55_60,x11_0_11_5,Canut,x1,x51_60,x2__375_500_,x2,x75_90,x25_35,Cereals,x9_10,x3,x650_700,x1_5,x230_250,x_26_3,x_450,state1,x40_50,x_2,x120_135,x30_45,x5,x19_21,x90_105,x30_45,x162_5_187_5,x3_5,x_99_1_00,x3_5_4_0,x30_45,x40_60,JB_4,worked_in_solil,x95_97,x95_97,x90_105,x_85,x27_5_32_5,x60_75,x_425,x17_19,x0_15,x15_20,x75_90
x46_48,x42_5_45,x450_550,x30_40,x_12_0,Vintage,x2,x51_60,x3___500_,x5,x45_60,x15_25,Cereals,x9_10,x4,x750_850,x1_5,x110_130,x11_4_20_4,x225_275,state2,x40_50,x_2,x120_135,x30_45,x_10,x_15,x75_90,x45_60,x162_5_187_5,x3_5,x_99_1_00,x4_0_4_5,x60_75,x60_80,JB_8,Placed,x98_99,x98__99,x105_120,x_85,x27_5_32_5,x45_60,x225_275,x19_21,x15_30,x10_15,x45_60
x30_35,x_35,x950_1150,x70_80,x10_0_10_5,Etna,x0,x_70,x2__375_500_,x1,x_45,x10_15,Other,x9_10,x3,x650_700,x5_10,x70_90,x26_3_10_4,x225_275,state4,x_30,x_2,x_120,x15_30,x_20,x_15,x60_75,x30_45,x87_5_112_5,x3_5,x_95__97,x4_0_4_5,x75_90,x80_100,JB_3,Top_dressed,x98_99,x94_95,x105_120,x_85,x27_5_32_5,x_45,x225_275,x19_21,x30_45,x25_30,x_45
x55_60,x50_55,x450_550,x40_50,x_12_0,Reggae,x3,x25_40,x3___500_,x4,x_45,x0_5,Other,x9_10,x5,x850_950,x0_1,x150_170,x_26_4,x275_325,state1,x50_60,x_2,x150_165,x30_45,x_20,x_15,x75_90,x45_60,x112_5_137_5,x1_2,x_98__99,x4_0_4_5,x_120,x120_140,Jb_7,Top_dressed,x95_97,x94_95,x180_195,x_98,x_22_5,x45_60,x275_325,x15_17,x_105,x0_5,x_45
x42_44,x42_5_45,x750_950,x55_60,x_12_0,Sehila,x0,x61_70,x1___375_,x4,x_45,x25_35,Beets,x9_10,x6,x650_700,x5_10,x50_70,x_26_3,x_175,state4,x50_60,x_2,x150_165,x30_45,x0,x23_25,x90_105,x30_45,x187_5_212_5,x3_5,x93__95,x4_0_4_5,x_120,x120_140,JB_9,Placed,x98_99,x90_93,x165_180,x_85,x27_5_32_5,x_45,x_175,x19_21,x75_90,x25_30,x_45
x46_48,x45_47_5,x_350,x_30,x9_0_9_5,Give,x2,x25_40,x3___500_,x4,x75_90,x_35,Clovergrass,x9_10,x6,x850_950,x0_1,x190_210,x26_3_10_4,x_450,state1,x40_50,x_2,x120_135,x30_45,x15,x15_17,x75_90,x15_30,x112_5_137_5,x0_1,x_99_1_00,x_3_0,x30_45,x40_60,JB_5,Top_dressed,x95_97,x95_97,x_75,x_98,x47_5_57_5,x_45,x_425,x13_15,x15_30,x0_5,x75_90
x46_48,x40_42_5,x550_650,x50_55,x9_0_9_5,Delibes,x1,x61_70,x2__375_500_,x2,x45_60,x0_5,Beets,x9_10,x5,x850_950,x5_10,x110_130,x_26_3,x225_275,state4,x40_50,x_2,x135_150,x30_45,x5,x21_23,x75_90,x30_45,x137_5_162_5,x3_5,x93__95,x4_5_5_0,x75_90,x80_100,JB_6,Placed,x93_95,x85_90,x135_150,x_85,x27_5_32_5,x45_60,x175_225,x_23,x45_60,x25_30,x45_60
x30_35,x45_47_5,x350_450,x30_40,x_12_0,Derkado,x0,x_25,x3___500_,x4,x45_60,x15_25,Cer_rotation,x9_10,x5,x850_950,x0_1,x110_130,x_26_4,x325_375,state0,x40_50,x_2,x135_150,x15_30,x_25,x_15,x60_75,x45_60,x87_5_112_5,x0_1,x_99_1_00,x4_0_4_5,x90_105,x100_120,JB_4,worked_in_solil,x99_100,x99_100,x120_135,x_98,x_22_5,x_45,x325_375,x13_15,x45_60,x0_5,x45_60
