CapInScen,MidLLapse,WindAloft,LowLLapse,ScenRelAMCIN,CombMoisture,MeanRH,SynForcng,AMInstabMt,ScenRelAMIns,MorningCIN,SubjVertMo,QGVertMotion,OutflowFrMt,CombClouds,SatContMoist,AreaMoDryAir,AMInsWliScen,IRCloudCover,CldShadeConv,LIfr12ZDENSd,ScnRelPlFcst,CurPropConv,N0_7muVerMo,TempDis,Scenario,MvmtFeatures,InsChange,LLIW,Boundaries,LoLevMoistAd,AreaMeso_ALS,WndHodograph,LatestCIN,MountainFcst,Date,RHRatio,VISCloudCov,ScenRel3_4,N34StarFcst,CapChange,WindFieldMt,InsInMt,InsSclInScen,CompPlFcst,CldShadeOth,RaoContMoist,MorningBound,R5Fcst,Dewpoints,CombVerMo,AMDewptCalPl,SfcWndShfDis,AMCINInScen,WindFieldPln,PlainsFcst
Average,CloseToDryAd,SWQuad,Steep,CThruK,Dry,Dry,SigNegative,Weak,G,Stifling,WeakUp,Down,Strong,PC,Dry,Neutral,Average,PC,Marked,N5GtLIGt_8,G,None,WeakUp,None,G,NoMajor,Increasing,Strong,Strong,Neutral,Neutral,DCVZFavor,PartInhibit,XNIL,Jul16_Aug10,MoistMDryL,Clear,GJ,XNIL,Increasing,Westerly,Strong,Average,IncCapDecIns,PC,Wet,None,XNIL,LowAtStation,Neutral,Neutral,None,Average,LV,XNIL
Average,ModerateOrLe,AllElse,Stable,CThruK,Dry,Average,SigNegative,Strong,K,PartInhibit,Down,Neutral,Strong,PC,Dry,VeryWet,Average,Clear,Marked,N1GtLIGt_4,K,Slight,Down,None,K,StrongFront,LittleChange,Weak,Strong,Neutral,Down,Westerly,None,SVR,Aug20_Sep15,Other,PC,ACEFK,XNIL,LittleChange,Westerly,Strong,Average,LittleChange,Clear,Dry,None,SVR,Other,Down,Stability,MovingFtorOt,Average,LV,XNIL
LessThanAve,CloseToDryAd,NWQuad,ModerateOrLe,AB,VeryWet,Average,PosToNeg,Strong,ABI,TotalInhibit,StronUp,Neutral,Weak,Cloudy,Wet,VeryWet,LessUnstable,Clear,Some,LILt_8,B,Strong,Neutral,QStationary,B,NoMajor,Decreasing,Strong,Weak,WeakPos,WeakUp,Other,None,SVR,Aug20_Sep15,Other,Cloudy,B,SIG,Decreasing,Westerly,Strong,LessUnstable,DecCapIncIns,Cloudy,VeryWet,Weak,SVR,HighEvrywher,WeakUp,Neutral,DenvCyclone,MoreThanAve,DenvCyclone,XNIL
Average,ModerateOrLe,AllElse,Stable,CThruK,Neutral,Average,PosToNeg,Weak,K,PartInhibit,Neutral,Neutral,None,PC,Neutral,Neutral,Average,Cloudy,None,LIGt0,K,Moderate,WeakUp,Other,K,StrongFront,LittleChange,Weak,None,Neutral,Neutral,Other,None,SIG,Jun15_Jul1,DryMMoistL,Clear,ACEFK,XNIL,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,Clear,Neutral,None,SIG,Other,Neutral,Instability,MovingFtorOt,Average,SEQuad,XNIL
LessThanAve,Steep,AllElse,Steep,AB,VeryWet,VeryMoist,LittleChange,Weak,ABI,PartInhibit,WeakUp,Down,Strong,Clear,Neutral,Wet,Average,PC,Marked,N5GtLIGt_8,B,Strong,Neutral,Moving,B,NoMajor,Increasing,Strong,Strong,StrongPos,Neutral,StrongWest,Stifling,SVR,Aug20_Sep15,Other,Clear,B,XNIL,Decreasing,Westerly,Strong,MoreUnstable,DecCapIncIns,Clear,VeryWet,Weak,SVR,LowNHighS,Neutral,Neutral,MovingFtorOt,LessThanAve,DenvCyclone,XNIL
MoreThanAve,CloseToDryAd,LV,ModerateOrLe,CThruK,Wet,Average,LittleChange,Strong,CDEJ,PartInhibit,Neutral,Neutral,Strong,PC,VeryWet,Wet,LessUnstable,PC,Marked,N1GtLIGt_4,J,None,Neutral,Other,J,NoMajor,Increasing,Moderate,Weak,StrongPos,Neutral,StrongWest,PartInhibit,SVR,Jul2_Jul15,MoistMDryL,PC,GJ,XNIL,Increasing,LVorOther,Strong,LessUnstable,IncCapDecIns,PC,Neutral,None,SVR,LowMtsHighPl,Neutral,Instability,DryLine,Average,LV,XNIL
LessThanAve,Steep,AllElse,CloseToDryAd,CThruK,Neutral,Average,LittleChange,Strong,CDEJ,PartInhibit,Neutral,Neutral,Strong,Cloudy,Dry,Neutral,MoreUnstable,PC,Marked,LILt_8,D,Moderate,Neutral,None,D,MarkedUpper,LittleChange,Moderate,Strong,WeakPos,Neutral,StrongWest,PartInhibit,SIG,Aug20_Sep15,Other,Cloudy,D,SIG,Decreasing,Westerly,Strong,MoreUnstable,DecCapIncIns,PC,Wet,None,SIG,Other,Neutral,Neutral,DryLine,LessThanAve,LongAnticyc,SIG
Average,ModerateOrLe,SWQuad,Steep,CThruK,Neutral,Average,LittleChange,Strong,CDEJ,PartInhibit,Neutral,Neutral,Strong,PC,Neutral,Neutral,LessUnstable,PC,Some,N5GtLIGt_8,E,Slight,Down,None,E,NoMajor,Decreasing,Weak,Weak,Negative,Neutral,Westerly,Stifling,SIG,Jul16_Aug10,DryMMoistL,PC,ACEFK,XNIL,LittleChange,LVorOther,Strong,LessUnstable,LittleChange,PC,Neutral,None,SIG,LowEvrywhere,Neutral,Stability,Other,Average,WidespdDnsl,XNIL
MoreThanAve,ModerateOrLe,AllElse,Steep,CThruK,Wet,Average,SigPositive,Weak,K,None,Neutral,StrongUp,None,PC,Wet,Wet,Average,PC,None,N1GtLIGt_4,K,Moderate,Down,Other,K,StrongFront,LittleChange,Moderate,Weak,Negative,Neutral,Other,None,SIG,May15_Jun14,Other,PC,ACEFK,XNIL,Increasing,LVorOther,Strong,Average,IncCapDecIns,PC,Wet,None,SIG,HighEvrywher,Neutral,Neutral,Other,Average,SEQuad,XNIL
Average,Steep,SWQuad,ModerateOrLe,AB,Neutral,Average,SigNegative,Weak,ABI,PartInhibit,Down,Neutral,None,PC,Neutral,Wet,Average,PC,None,N5GtLIGt_8,A,Slight,WeakUp,Other,A,MarkedUpper,Increasing,Moderate,Weak,StrongPos,Neutral,Other,Stifling,XNIL,Jul16_Aug10,DryMMoistL,PC,ACEFK,SVR,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,Clear,Wet,Weak,SVR,Other,Neutral,Instability,MovingFtorOt,Average,DenvCyclone,SVR
Average,Steep,LV,CloseToDryAd,CThruK,Dry,Average,SigNegative,Strong,ABI,PartInhibit,Neutral,Down,Strong,PC,Dry,Dry,MoreUnstable,PC,Some,N1GtLIGt_4,I,Strong,WeakUp,QStationary,I,MarkedUpper,LittleChange,Moderate,Weak,Negative,Neutral,Westerly,None,SVR,Jul16_Aug10,DryMMoistL,PC,HI,XNIL,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,Clear,Neutral,None,SVR,LowMtsHighPl,Neutral,Instability,MovingFtorOt,Average,DenvCyclone,XNIL
Average,Steep,AllElse,Steep,CThruK,Wet,Dry,NegToPos,Weak,K,PartInhibit,Neutral,Neutral,Strong,Clear,Neutral,Wet,LessUnstable,PC,Some,N5GtLIGt_8,K,Moderate,WeakUp,None,K,MarkedUpper,Increasing,Moderate,Weak,Neutral,Neutral,StrongWest,None,SIG,Aug11_Aug20,DryMMoistL,Clear,ACEFK,XNIL,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,Clear,Neutral,None,SIG,LowNHighS,Neutral,Stability,E_W_N,LessThanAve,WidespdDnsl,XNIL
MoreThanAve,CloseToDryAd,NWQuad,ModerateOrLe,CThruK,Neutral,Average,PosToNeg,Strong,H,Stifling,Neutral,WeakUp,Weak,Cloudy,Neutral,Neutral,Average,Cloudy,None,N1GtLIGt_4,H,Moderate,StrongUp,Other,H,NoMajor,LittleChange,Strong,Weak,Negative,WeakUp,Other,PartInhibit,SVR,Aug20_Sep15,Other,PC,HI,XNIL,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,Cloudy,Neutral,None,SVR,LowSHighN,WeakUp,Stability,Other,MoreThanAve,DenvCyclone,XNIL
LessThanAve,CloseToDryAd,SWQuad,Stable,AB,Neutral,Dry,PosToNeg,Weak,ABI,PartInhibit,Down,WeakUp,Strong,PC,Dry,Neutral,MoreUnstable,Clear,Some,N1GtLIGt_4,A,None,Neutral,Other,A,MarkedUpper,Decreasing,Unfavorable,Strong,Negative,WeakUp,DCVZFavor,TotalInhibit,SIG,Aug20_Sep15,MoistMDryL,PC,ACEFK,XNIL,Decreasing,Westerly,Strong,MoreUnstable,DecCapIncIns,PC,VeryWet,None,SIG,Other,WeakUp,Instability,DenvCyclone,LessThanAve,DenvCyclone,SIG
MoreThanAve,CloseToDryAd,LV,Stable,CThruK,Neutral,VeryMoist,SigNegative,Weak,H,PartInhibit,Neutral,Down,Strong,PC,Neutral,Neutral,MoreUnstable,Clear,Marked,N1GtLIGt_4,H,None,Down,Moving,H,NoMajor,LittleChange,Weak,Weak,WeakPos,Neutral,DCVZFavor,TotalInhibit,SIG,Aug20_Sep15,DryMMoistL,PC,HI,XNIL,Increasing,LVorOther,Strong,MoreUnstable,IncCapDecIns,PC,Neutral,None,SIG,HighEvrywher,Neutral,Instability,E_W_N,Average,E_NE,XNIL
Average,Steep,SWQuad,Stable,AB,VeryWet,VeryMoist,LittleChange,Strong,ABI,PartInhibit,Down,Neutral,None,Clear,Dry,VeryWet,LessUnstable,Clear,Some,N1GtLIGt_4,B,None,Down,None,B,NoMajor,Decreasing,Weak,Weak,Negative,Down,Westerly,Stifling,XNIL,Jul16_Aug10,Other,PC,B,XNIL,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,Clear,Dry,Weak,XNIL,LowMtsHighPl,Down,Instability,DenvCyclone,Average,LV,XNIL
Average,Steep,NWQuad,ModerateOrLe,CThruK,Dry,Dry,SigPositive,Weak,K,PartInhibit,StronUp,WeakUp,Weak,PC,VeryWet,Dry,Average,PC,Some,LIGt0,K,Strong,WeakUp,Other,K,StrongFront,LittleChange,Strong,Weak,WeakPos,WeakUp,Westerly,PartInhibit,SIG,Aug20_Sep15,Other,PC,ACEFK,SVR,Decreasing,Westerly,Strong,Average,DecCapIncIns,PC,Dry,Weak,SVR,LowEvrywhere,WeakUp,Neutral,E_W_N,Average,WidespdDnsl,SVR
Average,Steep,NWQuad,ModerateOrLe,AB,Wet,Dry,LittleChange,Weak,ABI,Stifling,Down,WeakUp,Strong,Cloudy,Wet,VeryWet,MoreUnstable,Cloudy,Some,N1GtLIGt_4,B,Slight,StrongUp,Other,B,NoMajor,Increasing,Weak,Strong,StrongPos,WeakUp,StrongWest,PartInhibit,XNIL,Jun15_Jul1,Other,Cloudy,B,SVR,Increasing,LVorOther,Weak,MoreUnstable,IncCapDecIns,Cloudy,VeryWet,None,SVR,LowEvrywhere,WeakUp,Neutral,DenvCyclone,LessThanAve,DenvCyclone,SVR
