DrivHist,DrivingSkill,Age,RuggedAuto,Mileage,VehicleYear,ILiCost,ThisCarDam,AntiTheft,DrivQuality,RiskAversion,GoodStudent,OtherCar,MakeModel,Accident,SocioEcon,HomeBase,PropCost,CarValue,Antilock,ThisCarCost,OtherCarCost,Theft,Airbag,MedCost,SeniorTrain,Cushioning
Many,Normal,Adult,Tank,TwentyThou,Older,Thousand,None,False,Excellent,Adventurous,False,True,Luxury,None,UpperMiddle,Secure,TenThou,FiftyThou,True,Thousand,Thousand,False,True,Thousand,False,Excellent
Many,SubStandard,Senior,Tank,TwentyThou,Older,Thousand,Mild,False,Poor,Adventurous,False,True,FamilySedan,Mild,Prole,City,Thousand,TenThou,False,Thousand,Thousand,False,False,Thousand,False,Good
One,Normal,Adult,EggShell,TwentyThou,Older,Thousand,None,False,Excellent,Adventurous,False,False,Economy,None,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Senior,EggShell,FiftyThou,Older,Thousand,None,True,Normal,Cautious,False,False,Economy,None,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,True,Poor
Zero,Normal,Senior,Football,FiftyThou,Current,Thousand,None,False,Normal,Normal,False,True,FamilySedan,None,Middle,Suburb,Thousand,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Good
Many,SubStandard,Senior,EggShell,FiftyThou,Older,Thousand,Mild,False,Poor,Normal,False,False,Economy,Mild,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Zero,Normal,Adult,Tank,TwentyThou,Older,Thousand,None,False,Normal,Normal,False,False,FamilySedan,None,Middle,Rural,TenThou,FiveThou,False,Thousand,Thousand,False,True,Thousand,False,Excellent
Zero,Normal,Senior,EggShell,TwentyThou,Older,Thousand,None,True,Normal,Cautious,False,False,Economy,None,Prole,Rural,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,True,Fair
Many,SubStandard,Adult,Football,TwentyThou,Current,Thousand,Severe,False,Poor,Adventurous,False,True,FamilySedan,Severe,UpperMiddle,Suburb,HundredThou,TwentyThou,False,HundredThou,TenThou,False,True,Thousand,False,Excellent
Zero,Expert,Adult,Football,FiftyThou,Older,Thousand,None,False,Excellent,Adventurous,False,True,FamilySedan,None,Prole,Rural,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Zero,Normal,Adult,Football,FiftyThou,Older,Thousand,None,False,Normal,Adventurous,False,False,FamilySedan,None,Middle,Suburb,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
Many,SubStandard,Senior,EggShell,FiftyThou,Older,Thousand,Moderate,False,Poor,Normal,False,False,Economy,Moderate,Prole,City,TenThou,FiveThou,False,TenThou,Thousand,False,True,HundredThou,False,Fair
Zero,Expert,Senior,EggShell,FiftyThou,Older,Thousand,None,True,Excellent,Cautious,False,True,Economy,None,Prole,Suburb,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,True,Poor
One,Normal,Adult,EggShell,FiveThou,Current,Thousand,None,True,Normal,Normal,False,True,SportsCar,None,UpperMiddle,Suburb,Thousand,TwentyThou,True,Thousand,Thousand,False,True,Thousand,False,Good
Zero,Normal,Adult,EggShell,FiftyThou,Older,Thousand,None,True,Normal,Cautious,False,False,SportsCar,None,Prole,Rural,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,SubStandard,Adult,Football,FiveThou,Current,Thousand,None,True,Poor,Normal,False,True,FamilySedan,None,UpperMiddle,Secure,Thousand,TwentyThou,False,Thousand,Thousand,False,True,Thousand,False,Good
One,Normal,Senior,Tank,FiftyThou,Current,Thousand,None,True,Normal,Cautious,False,True,FamilySedan,None,UpperMiddle,Secure,Thousand,TwentyThou,False,Thousand,Thousand,False,True,Thousand,True,Excellent
Zero,Normal,Adult,Tank,Domino,Older,Thousand,Mild,False,Poor,Adventurous,False,True,FamilySedan,Moderate,Middle,City,HundredThou,FiveThou,False,Thousand,HundredThou,False,False,Thousand,False,Good
Many,Normal,Adult,Football,TwentyThou,Older,Thousand,None,False,Excellent,Psychopath,False,True,FamilySedan,None,Middle,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Poor
Many,SubStandard,Adult,Tank,Domino,Older,Thousand,Mild,False,Poor,Normal,False,False,FamilySedan,Moderate,Prole,City,TenThou,FiveThou,False,Thousand,Thousand,False,False,Thousand,False,Excellent
Zero,SubStandard,Senior,EggShell,FiftyThou,Older,Thousand,None,True,Poor,Cautious,False,False,Economy,None,Prole,City,Thousand,FiveThou,False,Thousand,Thousand,False,False,Thousand,True,Fair
Zero,Normal,Adult,EggShell,FiveThou,Older,Thousand,None,True,Normal,Cautious,False,True,Economy,None,Prole,Rural,Thousand,TwentyThou,False,Thousand,Thousand,False,False,Thousand,False,Fair
