mikro_2,lai_1,foto_2,meldug_2,straaling_1,foto_3,foto_4,nedboer_2,udbytte,mikro_3,lai_3,dm_3,meldug_1,meldug_4,middel_2,middel_1,temp_4,temp_1,straaling_4,temp_3,lai_4,straaling_3,middel_3,meldug_3,straaling_2,dm_1,nedboer_1,lai_2,nedboer_3,foto_1,lai_0,dm_4,mikro_1,temp_2,dm_2
V_dt_og_varmt,5_5___6_5,0_55_kg_m2,0_5___1__,150___199_MJ_m2,1_00_kg_m2,0_40_kg_m2,____4,109___111_hkg_ha,T_rt_og_varmt,3_5___4_5,1_18_kg_m2,0_5___1__,0_00___0_01__,0_75_l_ha,0_l_ha,15_0___16_9_C,13_0___14_9_C,___300_MJ_m2,15_0___16_9_C,0_5___1_5,300___349_MJ_m2,0_l_ha,0_00___0_01__,200___249_MJ_m2,0_30_kg_m2,____4,5_5___6_5,0___1,0_50_kg_m2,4_5___5_5,1_28_kg_m2,V_dt_og_koldt,____17_0_C,0_58_kg_m2
T_rt_og_varmt,5_5___6_5,0_50_kg_m2,0_00___0_01__,200___249_MJ_m2,0_90_kg_m2,0_70_kg_m2,0___1,115___117_hkg_ha,V_dt_og_varmt,3_5___4_5,1_04_kg_m2,0_00___0_01__,0_00___0_01__,0_50_l_ha,0_50_l_ha,____17_0_C,15_0___16_9_C,____400_MJ_m2,15_0___16_9_C,1_5___2_5,300___349_MJ_m2,0_75_l_ha,0_00___0_01__,150___199_MJ_m2,0_30_kg_m2,0___1,4_5___5_5,____4,0_50_kg_m2,5_5___6_5,1_36_kg_m2,T_rt_og_koldt,13_0___14_9_C,0_56_kg_m2
T_rt_og_koldt,0_5___1_5,0_20_kg_m2,6___10__,150___199_MJ_m2,0_40_kg_m2,0_00_kg_m2,2___3,13___15_hkg_ha,T_rt_og_varmt,0_5___1_5,0_28_kg_m2,50___100__,0_01___0_5__,0_l_ha,0_50_l_ha,____17_0_C,____17_0_C,___300_MJ_m2,____17_0_C,0_0___0_5,____400_MJ_m2,0_50_l_ha,6___10__,200___249_MJ_m2,0_08_kg_m2,____4,0_5___1_5,0___1,0_25_kg_m2,2_5___3_5,0_16_kg_m2,V_dt_og_varmt,13_0___14_9_C,0_12_kg_m2
V_dt_og_koldt,0_0___0_5,0_00_kg_m2,6___10__,150___199_MJ_m2,0_00_kg_m2,0_00_kg_m2,____4,0___1_hkg_ha,V_dt_og_varmt,0_0___0_5,0_00_kg_m2,50___100__,0_00___0_01__,0_75_l_ha,0_50_l_ha,15_0___16_9_C,15_0___16_9_C,350___399_MJ_m2,13_0___14_9_C,0_0___0_5,350___399_MJ_m2,0_75_l_ha,0_00___0_01__,150___199_MJ_m2,0_04_kg_m2,2___3,0_0___0_5,2___3,0_15_kg_m2,3_5___4_5,0_00_kg_m2,T_rt_og_koldt,13_0___14_9_C,0_00_kg_m2
T_rt_og_varmt,5_5___6_5,0_65_kg_m2,2___6__,___150_MJ_m2,0_85_kg_m2,0_55_kg_m2,2___3,105___107_hkg_ha,T_rt_og_koldt,3_5___4_5,1_02_kg_m2,6___10__,0_00___0_01__,0_75_l_ha,0_l_ha,13_0___14_9_C,13_0___14_9_C,300___349_MJ_m2,15_0___16_9_C,0_5___1_5,300___349_MJ_m2,0_25_l_ha,0_00___0_01__,200___249_MJ_m2,0_16_kg_m2,0___1,5_5___6_5,2___3,0_35_kg_m2,5_5___6_5,1_24_kg_m2,T_rt_og_koldt,15_0___16_9_C,0_56_kg_m2
T_rt_og_koldt,1_5___2_5,0_25_kg_m2,50___100__,200___249_MJ_m2,0_65_kg_m2,0_00_kg_m2,2___3,29___31_hkg_ha,V_dt_og_varmt,0_5___1_5,0_44_kg_m2,50___100__,0_01___0_5__,0_l_ha,0_l_ha,____17_0_C,13_0___14_9_C,300___349_MJ_m2,15_0___16_9_C,0_0___0_5,____400_MJ_m2,0_75_l_ha,6___10__,200___249_MJ_m2,0_00_kg_m2,____4,0_5___1_5,____4,0_00_kg_m2,4_5___5_5,0_34_kg_m2,V_dt_og_koldt,13_0___14_9_C,0_10_kg_m2
V_dt_og_koldt,4_5___5_5,0_50_kg_m2,0_00___0_01__,200___249_MJ_m2,0_80_kg_m2,0_35_kg_m2,2___3,87___89_hkg_ha,T_rt_og_varmt,2_5___3_5,0_98_kg_m2,0_5___1__,0_00___0_01__,0_50_l_ha,0_75_l_ha,15_0___16_9_C,____17_0_C,___300_MJ_m2,15_0___16_9_C,0_5___1_5,350___399_MJ_m2,0_25_l_ha,0_00___0_01__,150___199_MJ_m2,0_28_kg_m2,2___3,3_5___4_5,2___3,0_55_kg_m2,5_5___6_5,1_04_kg_m2,V_dt_og_varmt,15_0___16_9_C,0_54_kg_m2
V_dt_og_koldt,3_5___4_5,0_45_kg_m2,0_01___0_5__,150___199_MJ_m2,0_75_kg_m2,0_40_kg_m2,2___3,77___79_hkg_ha,V_dt_og_varmt,3_5___4_5,0_82_kg_m2,0_5___1__,0_00___0_01__,0_25_l_ha,0_l_ha,____17_0_C,15_0___16_9_C,300___349_MJ_m2,____17_0_C,0_5___1_5,___300_MJ_m2,0_75_l_ha,0_00___0_01__,150___199_MJ_m2,0_24_kg_m2,____4,4_5___5_5,____4,0_45_kg_m2,3_5___4_5,0_92_kg_m2,V_dt_og_koldt,15_0___16_9_C,0_44_kg_m2
T_rt_og_varmt,2_5___3_5,0_40_kg_m2,0_01___0_5__,150___199_MJ_m2,0_40_kg_m2,0_30_kg_m2,0___1,57___59_hkg_ha,T_rt_og_koldt,0_5___1_5,0_56_kg_m2,25___50__,0_00___0_01__,0_25_l_ha,0_50_l_ha,____17_0_C,13_0___14_9_C,350___399_MJ_m2,13_0___14_9_C,0_0___0_5,350___399_MJ_m2,0_75_l_ha,0_00___0_01__,150___199_MJ_m2,0_26_kg_m2,2___3,1_5___2_5,0___1,0_45_kg_m2,4_5___5_5,0_68_kg_m2,V_dt_og_koldt,13_0___14_9_C,0_44_kg_m2
V_dt_og_varmt,3_5___4_5,0_55_kg_m2,0_01___0_5__,150___199_MJ_m2,0_70_kg_m2,0_30_kg_m2,____4,79___81_hkg_ha,T_rt_og_varmt,2_5___3_5,0_92_kg_m2,25___50__,0_00___0_01__,0_75_l_ha,0_25_l_ha,13_0___14_9_C,13_0___14_9_C,300___349_MJ_m2,15_0___16_9_C,0_5___1_5,300___349_MJ_m2,0_50_l_ha,0_00___0_01__,200___249_MJ_m2,0_28_kg_m2,0___1,3_5___4_5,2___3,0_50_kg_m2,4_5___5_5,0_94_kg_m2,T_rt_og_koldt,____17_0_C,0_56_kg_m2
