CKNN_12_30,CKNN_12_00,CKND_12_30,CBODD_12_15,C_NI_12_00,CKNI_12_00,CKND_12_15,CKND_12_00,CNON_12_45,CKNI_12_15,CNOD_12_15,CNOD_12_00,CBODD_12_30,CBODD_12_00,CNON_12_15,CBODD_12_45,CNON_12_00,CNOD_12_45,CKNN_12_45,C_NI_12_15,CKNN_12_15,CKND_12_45,CBODN_12_30,CNON_12_30,C_NI_12_30,CBODN_12_45,CNOD_12_30,C_NI_12_45,CBODN_12_00,CKNI_12_30,CKNI_12_45,CBODN_12_15
0_5_MG_L,1_MG_L,4_MG_L,25_MG_L,4,40_MG_L,4_MG_L,4_MG_L,6_MG_L,40_MG_L,1_MG_L,1_MG_L,25_MG_L,20_MG_L,6_MG_L,25_MG_L,4_MG_L,0_5_MG_L,0_5_MG_L,3,1_MG_L,4_MG_L,10_MG_L,6_MG_L,5,15_MG_L,1_MG_L,5,10_MG_L,30_MG_L,30_MG_L,10_MG_L
1_MG_L,1_MG_L,4_MG_L,20_MG_L,6,20_MG_L,4_MG_L,4_MG_L,4_MG_L,30_MG_L,1_MG_L,1_MG_L,20_MG_L,20_MG_L,4_MG_L,20_MG_L,4_MG_L,0_5_MG_L,1_MG_L,4,1_MG_L,4_MG_L,10_MG_L,4_MG_L,3,10_MG_L,0_5_MG_L,5,10_MG_L,30_MG_L,20_MG_L,10_MG_L
1_MG_L,1_MG_L,4_MG_L,20_MG_L,4,40_MG_L,4_MG_L,4_MG_L,4_MG_L,40_MG_L,1_MG_L,1_MG_L,20_MG_L,20_MG_L,4_MG_L,20_MG_L,4_MG_L,0_5_MG_L,1_MG_L,5,1_MG_L,4_MG_L,10_MG_L,4_MG_L,5,10_MG_L,1_MG_L,4,10_MG_L,40_MG_L,30_MG_L,10_MG_L
0_5_MG_L,1_MG_L,4_MG_L,20_MG_L,5,20_MG_L,4_MG_L,4_MG_L,4_MG_L,40_MG_L,1_MG_L,1_MG_L,20_MG_L,20_MG_L,4_MG_L,20_MG_L,4_MG_L,0_5_MG_L,0_5_MG_L,4,0_5_MG_L,4_MG_L,10_MG_L,4_MG_L,3,10_MG_L,1_MG_L,3,10_MG_L,30_MG_L,30_MG_L,10_MG_L
1_MG_L,1_MG_L,4_MG_L,20_MG_L,5,20_MG_L,4_MG_L,4_MG_L,4_MG_L,20_MG_L,1_MG_L,1_MG_L,20_MG_L,20_MG_L,4_MG_L,20_MG_L,4_MG_L,0_5_MG_L,1_MG_L,4,1_MG_L,4_MG_L,10_MG_L,4_MG_L,4,10_MG_L,0_5_MG_L,4,10_MG_L,20_MG_L,20_MG_L,10_MG_L
1_MG_L,1_MG_L,4_MG_L,20_MG_L,4,30_MG_L,4_MG_L,4_MG_L,4_MG_L,30_MG_L,1_MG_L,1_MG_L,20_MG_L,20_MG_L,4_MG_L,20_MG_L,4_MG_L,0_5_MG_L,1_MG_L,4,1_MG_L,4_MG_L,10_MG_L,4_MG_L,4,10_MG_L,1_MG_L,3,10_MG_L,30_MG_L,30_MG_L,10_MG_L
1_MG_L,1_MG_L,4_MG_L,20_MG_L,6,20_MG_L,4_MG_L,4_MG_L,4_MG_L,20_MG_L,1_MG_L,1_MG_L,20_MG_L,20_MG_L,4_MG_L,20_MG_L,4_MG_L,0_5_MG_L,0_5_MG_L,4,1_MG_L,4_MG_L,10_MG_L,4_MG_L,4,10_MG_L,1_MG_L,4,10_MG_L,30_MG_L,30_MG_L,10_MG_L
0_5_MG_L,1_MG_L,4_MG_L,25_MG_L,5,40_MG_L,4_MG_L,4_MG_L,4_MG_L,40_MG_L,1_MG_L,1_MG_L,25_MG_L,20_MG_L,4_MG_L,25_MG_L,4_MG_L,0_5_MG_L,0_5_MG_L,6,1_MG_L,4_MG_L,10_MG_L,4_MG_L,4,10_MG_L,1_MG_L,4,10_MG_L,30_MG_L,30_MG_L,10_MG_L
1_MG_L,1_MG_L,4_MG_L,20_MG_L,4,20_MG_L,4_MG_L,4_MG_L,4_MG_L,40_MG_L,1_MG_L,1_MG_L,20_MG_L,20_MG_L,4_MG_L,20_MG_L,4_MG_L,1_MG_L,1_MG_L,4,1_MG_L,6_MG_L,10_MG_L,4_MG_L,5,10_MG_L,1_MG_L,5,10_MG_L,40_MG_L,40_MG_L,10_MG_L
0_5_MG_L,1_MG_L,4_MG_L,20_MG_L,4,30_MG_L,4_MG_L,4_MG_L,4_MG_L,30_MG_L,1_MG_L,1_MG_L,20_MG_L,20_MG_L,4_MG_L,20_MG_L,4_MG_L,0_5_MG_L,0_5_MG_L,5,0_5_MG_L,4_MG_L,10_MG_L,4_MG_L,5,10_MG_L,0_5_MG_L,5,10_MG_L,20_MG_L,20_MG_L,10_MG_L
